merchant_mask;gen_industry;segment_type;in_market;gmv;orders;shows;above_market_shows;below_market_shows;clicks;do_clicks;share_above_market;share_below_market;share_normal;share_too_few_offers
Скалорск;Fashion;top100;no_market;853168803;263685;1063737174;119493005;56497050;33820628;3579272;0,0279;0,8532;0,1114;0,0075
Ясирино;Fashion;top100;no_market;411267636;185782;1006961965;117779900;60383575;25751166;2844919;0,0523;0,7665;0,1439;0,0372
Приавполис;Pharma;top100;no_market;225331800;148414;320610848;216129675;180131896;9515398;1532633;0,0014;0,9511;0,0473;0,0001
Финкарбург;CEHAC;top100;no_market;374449880;67286;871166745;72641512;79751087;15886947;1187331;0,2008;0,4643;0,2626;0,0724
Орвилград;Pharma;top100;no_market;241783910;196272;230920956;179186832;42957745;6093315;1015033;0,0007;0,9913;0,0079;0,0001
Белерово;Pharma;top100;no_market;22321085;16301;133634172;106006484;31206039;3199136;907996;0,0293;0,8644;0,1062;0,0001
Примарридж;Pharma;top100;no_market;110548942;72212;159459797;138011026;35319620;3861676;776341;0,0027;0,9861;0,011;0,0002
Белбриново;CEHAC;top100;no_market;696000000;36412;181478135;116340717;57992792;5729288;712602;0,0388;0,7045;0,2533;0,0034
Эльвинпорт;DIY;top100;market;1253949725;86093;200129349;17522383;9022930;6301939;497499;0,0408;0,8001;0,1528;0,0063
Лесилистан;Pharma;top100;no_market;23117185;16239;52247092;41131129;16944202;1262455;414853;0,001;0,9715;0,0274;0
Орирск;Pharma;top100;market;16549795;8235;98214913;78454562;31658452;1648983;345954;0,0025;0,9869;0,0105;0,0001
Ладвилорск;Other;big;no_market;58195410;17478;177106507;6222212;3129105;3942608;325457;0,0506;0,7299;0,124;0,0956
Тихеново;Pharma;top100;no_market;17700973;12394;59360457;33880040;20760509;1080752;320765;0,0131;0,9028;0,0839;0,0002
Царинбург;Fashion;big;no_market;48575556;2916;121191767;29807181;21516259;1577583;307188;0,065;0,6689;0,2562;0,0099
Старинельск;Other;top100;no_market;15654919;6077;60441079;7517713;4109815;1065349;257329;0,0825;0,7061;0,1903;0,021
Ярстосково;Pharma;top100;no_market;67392593;51274;89473016;68501345;29246193;1859855;251564;0,0025;0,9758;0,0217;0,0001
Велтерпорт;CEHAC;top100;no_market;108855701;15244;87779349;24814645;17977188;1647200;228337;0,0391;0,7333;0,2241;0,0036
Зорольбург;FMCG;top100;no_market;54374831;2476;42701849;6399462;2954114;756405;224801;0,0438;0,6867;0,1955;0,074
Маловридж;Pharma;medium;no_market;12955476;5324;31126266;19480964;6145208;613293;213627;0,014;0,9263;0,0596;0,0001
Новдельово;Pharma;top100;no_market;10791125;8343;45671879;26966580;8710124;975482;212345;0,029;0,8193;0,1509;0,0008
Эльуград;CEHAC;top100;no_market;236691358;14435;104542937;9118658;10588854;2361068;190946;0,1582;0,387;0,4349;0,0198
Уралилинск;CEHAC;top100;no_market;7668686;1056;48304887;5647598;5168344;940420;160601;0,1294;0,555;0,2783;0,0373
Елилполис;Pharma;top100;market;43030042;25879;113356917;81257734;53733939;1825192;143024;0,0048;0,9224;0,0727;0
Стариристан;FMCG;top100;market;13849294;3989;45839805;18807485;12423509;1225538;140521;0,1215;0,6626;0,2124;0,0035
Скалельвиль;Other;medium;no_market;7261873;1296;16255078;186211;51706;294032;137374;0,0256;0,7727;0,1272;0,0746
Новальово;DIY;top100;no_market;57927899;6792;60360399;3600823;1525186;1640775;136849;0,0128;0,9429;0,041;0,0033
Уралирбург;DIY;top100;no_market;86823053;5060;47936309;5045087;3211438;999433;134638;0,0906;0,5749;0,3275;0,007
Портхолмвиль;Pharma;big;market;36080113;18483;123101119;75492564;58162024;1702415;125080;0,0026;0,8876;0,1097;0,0002
Лунонвиль;Home;medium;no_market;85233;574;38613727;11103;2626;705012;115710;0,0932;0,5176;0,2087;0,1805
Солнольсково;Fashion;big;no_market;2699928;647;92936061;1496821;1502297;1155133;111678;0,1268;0,5351;0,3133;0,0248
Скалбринино;FMCG;top100;no_market;31036123;6291;50320999;21718982;10964743;1414273;110825;0,0288;0,8595;0,1082;0,0035
Финайград;Other;top100;no_market;4245630;4022;46169950;97557;84459;860596;110762;0,0508;0,7024;0,2239;0,023
Прииорск;Other;medium;no_market;3075389;301;56087573;3354064;2087447;812687;102192;0,1778;0,5138;0,2905;0,0179
Волирбург;Home;top100;market;20430761;3222;47975859;3757446;1227267;676012;99264;0,0361;0,7472;0,1747;0,042
Озердельорск;CEHAC;top100;market;147000000;9745;31088627;17581401;13003457;984548;75598;0,052;0,6992;0,2464;0,0023
Озервинкент;Other;big;no_market;49285043;14997;25658859;105791;76434;581626;73753;0,1203;0,3886;0,291;0,2002
Волвинистан;Home;big;market;6001157;2291;25629974;2367622;749958;384154;73065;0,0118;0,9011;0,0854;0,0017
Камантаун;Other;big;no_market;141000000;8917;30738684;97649;46335;981046;71764;0,0546;0,6544;0,0816;0,2093
Радбринпорт;Pharma;top100;no_market;19674308;12545;43868534;18582337;25983011;866911;70211;0,057;0,4543;0,4885;0,0002
Севергринемир;Pharma;big;no_market;10648489;5301;22883182;14045660;14209417;405966;69458;0,0635;0,4717;0,4647;0,0001
Орярельск;CEHAC;big;no_market;162000000;2409;39879875;22144849;10448242;499315;69402;0,0012;0,9238;0,075;0
Приавчестер;;;no_market;32475;18;53021390;1207290;446634;1530857;69390;0,0617;0,7411;0,1625;0,0348
Берерград;Pharma;top100;no_market;3771639;2794;19022457;10913141;6469932;319923;68459;0,012;0,8885;0,0992;0,0003
Зоренвиль;FMCG;top100;market;9393267;2211;20692306;10943866;6681005;440922;65694;0,0849;0,6768;0,2271;0,0112
Финвилридж;Other;top100;market;17899206;2945;25334675;2016053;1367497;552662;64323;0,1326;0,736;0,1292;0,0022
Дарольоград;DIY;big;market;22851639;1242;23793019;6332424;2561032;471067;58875;0,0259;0,8198;0,1516;0,0027
Порттерчестер;Other;big;market;5864116;2304;15851967;106670;53010;289251;56024;0,0313;0,6343;0,294;0,0404
Севербринск;Pharma;top100;no_market;13831434;13254;38056424;20405426;13570759;579448;55066;0,0208;0,8895;0,0894;0,0003
Финорпорт;FMCG;top100;no_market;1759869;297;8255401;389974;115684;182926;54472;0,0255;0,8415;0,1139;0,0191
Тихвинорск;Other;big;market;11679618;2281;26568554;69396;51527;546385;54470;0,084;0,5171;0,2115;0,1874
Зоровемир;CEHAC;big;no_market;24074030;541;13374838;8153597;2368594;194506;53255;0,0093;0,9061;0,0826;0,0019
Ладтерск;;;no_market;6960080;1861;53845416;2221702;1658783;494056;52823;0;1;0;0
Южанчестер;CEHAC;top100;market;29164513;1029;30008590;17283603;16738938;268576;52624;0,0895;0,4366;0,4732;0,0008
Мирмарполис;DIY;big;no_market;3719096;716;18856464;1021055;566599;313906;50630;0,0351;0,7996;0,1578;0,0075
Скалевчестер;Other;top100;no_market;3608509;1230;35543056;24063;19572;392670;48313;0,0687;0,7227;0,1856;0,023
Портуртаун;Other;big;market;15563257;453;5801367;8;0;131258;47808;0,0147;0,9086;0,0581;0,0186
Новомпорт;FMCG;top100;market;25365010;4112;27580313;11622148;10712710;742377;47567;0,1783;0,4784;0,3387;0,0046
Клинаридж;FMCG;medium;no_market;3391770;907;16152272;137;217;646305;47300;0,0168;0,833;0,1419;0,0083
Холланск;Other;medium;no_market;2822046;293;12548089;1680;6;245091;46622;0,0623;0,626;0,1828;0,1289
Зорельинск;Other;big;market;7700162;3093;21740877;75605;17695;379608;45825;0,037;0,7129;0,1752;0,0749
Радоино;Pharma;top100;no_market;48137219;26800;38447033;25158392;22681858;839954;45754;0,0111;0,8042;0,1847;0,0001
Нордербург;FMCG;top100;no_market;462363;332;16448649;223143;96460;429612;45036;0,0578;0,5486;0,3422;0,0514
Южланбург;CEHAC;top100;no_market;10671298;651;16557653;10447042;7746354;260969;44050;0,0972;0,62;0,2815;0,0013
Лунавтаун;CEHAC;top100;market;334000000;10405;65440196;23911147;17995124;1514986;42509;0,0314;0,7032;0,2642;0,0012
Уралдорпорт;Fashion;big;no_market;7229961;974;28076097;6321675;2472351;416193;42508;0,0133;0,9243;0,0589;0,0034
