merchant_mask,score,segment_type,gen_industry,log_orders,log_gmv,CTR,price_competitiveness,avg_order_value,do_click_ratio,is_active
Орвилград,0.9125212889653509,top100,Pharma,12.187261826229799,19.303554955469647,0.02638701617015651,0.9913,1231.8818272601288,0.16658140929855095,1
Приавполис,0.9110728916394546,top100,Pharma,11.907767682774479,19.233084545020148,0.02967896457452369,0.9511,1518.2651232363523,0.1610687225064049,1
Эльвинпорт,0.8884246861811724,top100,DIY,11.363195001576461,20.949564187444388,0.03148932943363544,0.8001,14565.060167493291,0.07894379809134934,1
Скалорск,0.8877426785387323,top100,Fashion,12.132334604943331,19.834754745446453,0.02557312678637271,0.8532,2213.7108869535264,0.11047728867888934,1
Примарридж,0.8859482676749775,top100,Pharma,11.187375364074551,18.520968903937533,0.02421723890693276,0.9861,1530.894338891043,0.2010373216189033,1
Ясирино,0.8772203016490452,top100,Fashion,12.132334604943331,19.834754745446453,0.02557312678637271,0.7665,2213.7108869535264,0.11047728867888934,1
Белбриново,0.8603105177139484,top100,CEHAC,10.502681132721646,20.360860219735475,0.03157012826917138,0.7045,19114.577611776338,0.12437880588303468,1
Ярстосково,0.8426432349499273,top100,Pharma,10.844958582940581,18.026045688539504,0.020786769946371318,0.9758,1314.3619183211765,0.13526000682848932,1
Лесилистан,0.8283725324045194,top100,Pharma,9.69523261371567,16.95608688155808,0.024163162994794044,0.9715,1423.5596403719442,0.32860814840925023,1
Жарвилельск,0.817041902859568,big,CEHAC,7.708859601047175,15.414971667194816,0.038056115961473,0.9762,2222.884149079479,0.2603776997640404,1
Белерово,0.8158620782657386,top100,Pharma,9.699043078654404,16.921042350207703,0.02393950553306081,0.8644,1369.307711183363,0.2838253828533704,1
Новальово,0.8015532473669327,top100,DIY,8.823647949191303,17.874709691768402,0.02718297140481129,0.9429,8528.842608951707,0.08340509820054548,1
Озердельорск,0.7934504299519336,top100,CEHAC,9.184612223403452,18.80594315154573,0.031669073066494705,0.6992,15084.6587993843,0.07678447368741799,1
Камантаун,0.786374192383431,big,Other,9.095826985187422,18.76427045543464,0.03191567992956367,0.6544,15812.492990916227,0.07315049447222659,1
Скалбринино,0.7862033737218538,top100,FMCG,8.747034264178168,17.250662374348224,0.028105026293297555,0.8595,4933.416467970116,0.0783618155759178,1
Тихеново,0.7857191553931262,top100,Pharma,9.42504844446929,16.689130224278646,0.018206598375750376,0.9028,1428.1888817169597,0.29679797030216,1
Арерино,0.7851496208817582,medium,CEHAC,7.270312886079025,15.3080961764675,0.036522195707270444,0.8075,3097.898328690808,0.17024544588824378,1
Маловридж,0.782625652183697,medium,Pharma,8.580167990577626,16.377029191061226,0.019703391341576275,0.9263,2433.4102178812923,0.3483277976432146,1
Радоино,0.7822635838824791,top100,Pharma,10.196194479235656,17.68956624041739,0.021847043437656165,0.8042,1796.1648880597015,0.05447203061120014,1
Финкарбург,0.7807034367613205,top100,CEHAC,11.116722332040936,19.74096852286016,0.01823640203345916,0.4643,5565.048895758405,0.07473625989940043,1
Орирск,0.7771228530078754,top100,Pharma,9.01627006814768,16.62188433342739,0.016789537857657116,0.9869,2009.689738919247,0.20979840301567693,1
Велтерпорт,0.7765679137089563,top100,CEHAC,9.632006859422356,18.505533728287535,0.01876523372256953,0.7333,7140.888283914983,0.1386212967459932,1
Новдельово,0.7755523676971895,top100,Pharma,9.029297996680608,16.1942346876747,0.02135848187896977,0.8193,1293.4346158456192,0.2176821304749857,1
Елилполис,0.7749802989293335,top100,Pharma,10.161225748614838,17.577409104117095,0.016101284758829493,0.9224,1662.7397503767534,0.0783610710544425,1
Приуград,0.7741193334626472,top100,Other,7.116394144093465,17.428777789876698,0.02303179795871126,0.9511,30127.559707554832,0.10204958900023686,1
Ладвилорск,0.773469243358811,big,Other,9.768755439335086,17.879317060795685,0.022261226121974162,0.7299,3329.6378304153795,0.08254865814709451,1
Гормарбург,0.7680582504264825,top100,Other,8.891374009484636,17.134313271037723,0.03474821923613245,0.7194,3801.21794166208,0.023896937539773247,1
